n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
300,2,0.05,4.0,0.8,0.8,4.0,0.0,4.0,0.1,0.0,0.0,0.2210700660943985,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
300,2,0.05,4.0,0.8,0.8,6.0,0.0,4.0,0.0,0.0,0.2,0.2873934805393219,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.0,0.5,0.2,0.2798137962818146,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.2,0.0,0.0,0.21821852028369904,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
250,2,0.05,4.0,0.8,0.8,4.0,0.0,4.5,0.0,0.0,0.0,0.30996280908584595,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,2,0.05,4.0,0.8,0.8,4.0,0.0,4.5,0.0,0.0,0.2,0.3002880811691284,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,2,0.05,4.0,0.8,0.8,4.0,0.0,4.0,0.0,0.0,0.0,0.2783263623714447,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.1,0.0,0.0,0.2747102379798889,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.1,0.0,0.0,0.2709059715270996,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.2,0.0,0.2,0.2660982608795166,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.35,0.0,0.2,0.2067902684211731,29,29,128,5,0.8529411764705882,0.8152866242038217,0.14705882352941177,0.18471337579617833,5.0,False
250,2,0.05,4.0,0.8,0.8,6.0,0.0,4.5,0.0,0.0,0.2,0.31539294123649597,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,2,0.05,4.0,0.8,0.8,4.0,0.0,4.0,0.0,0.0,0.2,0.2863164246082306,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.0,0.5,0.2,0.2822217047214508,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.0,0.5,0.2,0.2547076642513275,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.1,0.5,0.2,0.22149555385112762,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,2,0.05,4.0,0.8,0.8,4.0,0.0,4.5,0.1,0.0,0.0,0.21524956822395325,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.0,0.0,0.2,0.3315466046333313,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.0,0.0,0.2,0.32413408160209656,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,2,0.05,4.0,0.8,0.8,6.0,0.0,4.5,0.0,0.0,0.0,0.28859373927116394,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.0,0.5,0.0,0.27479565143585205,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
